author_list,affiliation,organization_type
Juan Camilo Zapata,University 6,University
Vishal A. Varma,Company 17,Company
Alexander Mitsos,Company 11,Company
Nils Erwes,Company 4,Company
Pascal Schäfer,University 18,University
Tim Varelmann,Company 6,Company
Jian Du 0003,University 30,University
José María Ponce-Ortega,Company 2,Company
Linlin Liu,University 25,University
Mahmoud M. El-Halwagi,University 21,University
Pingjing Yao,Company 15,Company
Kris Villez,Company 2,Company
Lluís Corominas,University 16,University
Peter A. Vanrolleghem,University 23,University
Jimena Di Maggio,Company 22,Company
Juan C. Diaz Ricci,Company 4,Company
María Soledad Díaz,University 6,University
David J. Widenski,University 19,University
Giuseppe Cogoni,Company 15,Company
José A. Romagnoli,Company 1,Company
Massimiliano Grosso,Company 7,Company
Roberto Baratti,University 16,University
Dominic C. Y. Foo,University 20,University
Kathleen B. Aviso,Company 29,Company
Raymond R. Tan,University 14,University
Derrick O. Njobuenwu,Company 29,Company
Michael Fairweather,Company 23,Company
Michael Modigell,Company 3,Company
T. Ginsberg,Company 9,Company
Abeeb A. Awotunde,Company 14,Company
Tamer M. Moussa,Company 16,Company
Sophia Tsoka,Company 2,Company
Eduardo S. Pérez-Cisneros,University 15,University
Mauricio Sales-Cruz,University 29,University
Ilkka Malinen,University 2,University
Juha Tanskanen,University 18,University
Gregorio R. Meira,Company 26,Company
Jorge R. Vega,Company 10,Company
Luis M. Gugliotta,Company 4,Company
Roque J. Minari,Company 16,Company
Jianping Li,University 12,University
M. M. Faruque Hasan,University 23,University
Salih Emre Demirel,Company 29,Company
Fengqi You,Company 14,Company
Ignacio E. Grossmann,Company 17,Company
Pedro M. Castro,Company 1,Company
Alistair D. Rodman,University 27,University
Dimitrios I. Gerogiorgis,Company 23,Company
Eric S. Fraga,University 3,University
Diogo Rodrigues,Company 26,Company
Dominique Bonvin,University 28,University
Julien Billeter,Company 11,Company
Sriniketh Srinivasan,University 22,University
Kamil M. Wagialla,University 4,University
Hongguang Li,University 11,University
Yongjian Wang,Company 8,Company
Alejandro Rodríguez-Martínez,University 10,University
Anna Robert,Company 21,Company
Cyrille Vessaire,Company 6,Company
Jean-Philippe Chancelier,University 6,University
Michel De Lara,University 21,University
Pierre Carpentier,University 8,University
Hayao Nakanishi,University 16,University
Hirokazu Sugiyama,Company 28,Company
Hironori Yonekura,University 15,University
Junu Kim,University 13,University
Sara Badr,Company 9,Company
Satoshi Yoshikawa,University 8,University
Takeaki Watanabe,Company 7,Company
João Luís de Miranda,University 4,University
Chamakuri Nagaiah,Company 3,Company
Gerald Warnecke,University 20,University
Mirko Peglow,University 22,University
Stefan Heinrich,Company 19,Company
Hong-Phuc Nguyen,University 21,University
Kung-Jeng Wang,Company 23,Company
Pei-Shan Wang,University 26,University
Antonio Espuña Camarasa,University 27,University
Carlos Pozo,University 6,University
Gabriela Corsano,Company 12,Company
Gonzalo Guillén-Gosálbez,Company 28,Company
Sergio Medina-González,University 6,University
G. K. Roy,University 30,University
Hara Mohan Jena,Company 1,Company
S. S. Mahapatra,University 12,University
C. Jasch,Company 22,Company
Carlos A. Méndez,University 4,University
Carlos G. Palacín,University 1,University
César de Prada Moraga,Company 14,Company
José Luis Pitarch,University 20,University
François Bertrand,University 5,University
Philippe A. Tanguy,Company 26,Company
R. Giguère,University 4,University
Joseph Sang-Il Kwon,Company 23,Company
Mohammed Saad Faizan Bangi,Company 11,Company
Claire S. Adjiman,Company 5,Company
Polyxeni-Margarita Kleniati,Company 14,Company
Ming-Gang Dong,University 8,University
Ning Wang,University 14,University
Jari Lappalainen,Company 13,Company
Timo Käkölä,University 8,University
Ville Alopaeus,University 7,University
André Bardow,University 2,University
Björn Bahl,University 29,University
Kirstin Ganz,University 8,University
Ludger Leenders,Company 1,Company
Maike Hennen,University 30,University
Nils Baumgärtner,University 20,University
Alanood A. Alsarayreh,Company 4,Company
Amro M. Al-Hroub,Company 7,Company
Iqbal M. Mujtaba,Company 21,Company
Mudhar A. Al-Obaidi,Company 6,Company
Raj Patel,University 14,University
Ioannis P. Androulakis,Company 27,Company
Bo Zhang,Company 16,Company
Hongyuan Wei,University 27,University
Jiaxing Zhu,Company 24,Company
Lin Hao,University 11,University
Wenshuai Bai,University 4,University
Yaozhou Sun,University 26,University
André Luís Alberton,University 8,University
Argimiro R. Secchi,University 15,University
Jimena Andréa Di Maggio,University 18,University
Kese P. F. Alberton,Company 23,Company
María Soledad Díaz,Company 14,Company
Davide Cacciarelli,Company 15,Company
Murat Kulahci,University 6,University
Jiali Li,Company 8,Company
Salwa Ali Ibrahim,Company 10,Company
Tonio Buonassisi,Company 8,Company
Xiaoli Liu,Company 2,Company
Xiaonan Wang 0002,Company 6,Company
Xuanwei Ong,University 18,University
Yang Xu,University 30,University
Jules Thibault,University 10,University
Shadi Vafaeyan,University 28,University
Jie Xiao,University 6,University
Xiao-Min Chen,Company 5,Company
Ya-Qing Zhuang,University 28,University
Zheng-Hong Luo,University 22,University
Diego C. Cafaro,University 8,University
Jaime Cerdá,Company 26,Company
Jens Bremer,Company 15,Company
Kai Sundmacher,Company 25,Company
Lihong Feng,Company 29,Company
Pawan Goyal 0003,Company 28,Company
Peter Benner,University 19,University
Agachon Phuluanglue,Company 14,Company
Suttichai Assabumrungrat,Company 15,Company
Watcharapong Khaodee,University 23,University
Carlos A. Méndez,Company 16,Company
Ignacio E. Grossmann,Company 10,Company
Iiro Harjunkoski,University 16,University
Jaime Cerdá,Company 20,Company
Marco Fahl,University 18,University
Anjan Kumar Tula,University 6,University
Mario R. Eden,University 29,University
Rafiqul Gani,Company 3,Company
Abeer M. Shoaib,Company 23,Company
Dominic C. Y. Foo,University 12,University
Mahmoud M. El-Halwagi,Company 26,Company
Moustafa E. Awad,Company 19,Company
Said M. Aly,University 25,University
Azmi M. Shariff,Company 27,Company
Faizan Ahmad,Company 14,Company
Ghulam Murshid,University 22,University
Kok Keong Lau,University 28,University
Efstratios N. Pistikopoulos,University 7,University
John D. Perkins,Company 14,Company
Vassileios D. Kosmidis,University 2,University
Chrysanthos E. Gounaris,University 16,University
Xiangyu Yin,University 10,University
Aidong Yang,Company 30,Company
Wolfgang Marquardt,Company 23,Company
Sebastian Engell,University 4,University
Simon Wenzel,Company 30,Company
Weihua Gao,Company 25,Company
Davide Manca,University 23,University
Ali Akbar Safavi,Company 18,Company
S. Vahid Naghavi,University 19,University
Vahid Zakeri,University 24,University
P. H. H. Araújo,Company 18,Company
Reinaldo E. Giudici,University 27,University
I. A. Karimi,Company 28,Company
Rajagopalan Srinivasan,Company 22,Company
H. Bouhenchir,Company 12,Company
Marie-Véronique Le Lann,Company 25,Company
Michel Cabassud,Company 10,Company
Hao Wu,Company 21,Company
Jinsong Zhao,Company 3,Company
Bethany Nicholson,University 27,University
Carl D. Laird,University 1,University
John D. Siirola,Company 27,Company
Lorenz T. Biegler,University 29,University
Robert Parker,Company 2,Company
Jong Min Lee 0002,University 5,University
Jong Woo Kim,University 7,University
Sang Hwan Son,Company 5,Company
Tae Hoon Oh,University 1,University
Antonio Visioli,Company 21,Company
José Sánchez 0002,University 10,University
María Guinaldo,Company 9,Company
Sebastián Dormido 0001,University 25,University
Xigang Yuan,Company 3,Company
Yingjie Ma,University 15,University
Yiqing Luo,Company 4,Company
Angelo Earvin Sy Choi,University 27,University
Meng Wei Wan,University 23,University
Nathaniel P. Dugos,University 16,University
Susan A. Roces,University 25,University
Francesco Saverio Marra,Company 22,Company
Luigi Acampora,University 8,University
Balázs Csontos,University 27,University
István Heckl,Company 23,Company
László Halász,University 9,University
Ding-Sou Chen,Company 14,Company
Jialin Liu,University 6,University
Jing Li,Company 17,Company
Li He,University 8,University
Xi Cheng,Company 21,Company
Yizhong Chen,University 21,University
Bingzhen Chen,University 29,University
Jinsong Zhao,Company 25,Company
Lihua Zhao,University 12,University
Lin Cui,Company 23,Company
Tong Qiu,Company 18,Company
Fumiyoshi Yamashita,University 18,University
Mitsuru Hashida,University 30,University
Mohammad K. Haidar,University 22,University
Shuya Yoshida,Company 19,Company
Takayuki Itoh,Company 29,Company
Antonio Flores-Tlacuahuac,University 20,University
Fabricio Nápoles-Rivera,University 3,University
Ilse María Hernández-Romero,Company 28,Company
K. D. P. Nigam,University 22,University
Luis Fabián Fuentes-Cortés,University 12,University
Abhay Athaley,Company 19,Company
Basudeb Saha,University 1,University
Marianthi Ierapetritou,Company 1,Company
Praneeth Annam,Company 26,Company
Kai Wang 0024,Company 22,Company
Ling Li,University 9,University
Yalin Wang 0003,Company 9,Company
Aldo R. Vecchietti,University 28,University
Gabriela Corsano,Company 11,Company
Jorge Marcelo Montagna,University 12,University
María Analía Rodríguez,Company 13,Company
Cathy Ridgway,University 22,University
David Vidal,Company 4,Company
François Bertrand,University 26,University
Grégoire Pianet,Company 21,Company
Joachim Schoelkopf,Company 11,Company
Robert Roy,University 14,University
Ergys Pahija,University 1,University
Flavio Manenti,Company 14,Company
Francesco Rossi,Company 4,Company
Iqbal M. Mujtaba,Company 13,Company
Chiou Peng Lam,Company 29,Company
Dong Xu,Company 18,Company
Huaizhong Li,Company 1,Company
Can Li,Company 8,Company
Christian D. Hubbs,Company 15,Company
Ignacio E. Grossmann,University 5,University
John M. Wassick,University 11,University
Nikolaos V. Sahinidis,University 8,University
Beverly V. Smith,Company 2,Company
Marianthi G. Ierapepritou,Company 28,Company
Masahiko Hirao,University 15,University
Soorathep Kheawhom,Company 28,Company
Alfonso Urquia,University 27,University
Carla Martin-Villalba,Company 8,Company
Sebastián Dormido 0001,University 12,University
Anders L. Madsen,University 22,University
Galia Weidl,University 19,University
Stefan Israelson,University 14,University
Mario R. Eden,University 13,University
Shounak Datta,University 18,University
Vikrant A. Dev,Company 22,Company
Shaojun Li,University 30,University
Shisong Liu,Company 22,Company
Donald J. Chmielewski,University 4,University
Oluwasanmi Adeodu,University 6,University
Abhijit J. Kulkarni,Company 10,Company
Bhaskar D. Kulkarni,University 30,University
Vaidyanathan K. Jayaraman,Company 1,Company
Christodoulos A. Floudas,University 6,University
Logan R. Matthews,Company 23,Company
Yannis A. Guzman,Company 2,Company
Jixin Qian,Company 29,Company
Kexin Wang,Company 18,Company
Lorenz T. Biegler,University 4,University
Yidong Lang,University 28,University
Zhijiang Shao,Company 6,Company
Michael Patrascu,University 27,University
Paul I. Barton,Company 5,Company
Peter G. Stechlinski,Company 13,Company
Ahmed Al-Durra,University 22,University
Igor Boiko,Company 4,Company
Jing Shi,Company 3,Company
Ignacio E. Grossmann,Company 21,Company
Pedro M. Castro,Company 4,Company
Qi Zhang 0016,Company 14,Company
Alexander Mitsos,Company 20,Company
Dominik Bongartz,University 20,University
Steffen Fahr,Company 22,Company
Bala Srinivasan 0001,Company 15,Company
Dominique Bonvin,Company 15,Company
Jeffrey A. Frumkin,Company 23,Company
Michael F. Doherty,University 8,University
Vikram Khanna,University 14,University
Ranjan K. Malik,Company 7,Company
Sanjay M. Mahajani,Company 5,Company
Sri Harsha Nistala,Company 29,Company
Vinay Amte,University 8,University
Hui Tian,Company 25,Company
Jagadeesan Prakash,University 17,University
James A. Olson,Company 8,Company
R. Bhushan Gopaluni,Company 13,Company
Victor M. Zavala,Company 5,Company
Albert C. Reynolds,Company 3,Company
Fahim Forouzanfar,University 14,University
Ranran Lu,University 9,University
Yang Zhang,University 8,University
Andrei Kanavalau,University 4,University
Sanjay Lall,University 7,University
César Ramírez-Márquez,University 20,University
Edgar Martín-Hernández,University 29,University
Juan Gabriel Segovia-Hernández,University 4,University
Mariano Martín,University 5,University
Andrea Capolei,University 23,University
John Bagterp Jørgensen,University 17,University
Jozsef Gáspár,Company 10,Company
Tobias K. S. Ritschel,Company 13,Company
Anita T. Layton,University 24,University
Jessica Leete,University 20,University
Susan Gurley,Company 1,Company
Ka Ming Ng,Company 14,Company
Juergen Hahn,Company 14,Company
Yunfei Chu,University 4,University
César de Prada,Company 14,Company
Daniel Navia,Company 7,Company
Daniel Sarabia,University 24,University
F. Cubillos,University 26,University
Gloria Gutiérrez,Company 5,Company
Miroslav Fikar,University 24,University
Radoslav Paulen,University 2,University
Ralf Gesthuisen,University 10,University
Sachin Arora,Company 13,Company
Sebastian Engell,University 24,University
Alicia Román-Martinez,Company 4,Company
Juan I. Padrón-Páez,Company 3,Company
Sofía De-León Almaraz,Company 24,Company
Boris Golman,University 19,University
Friedhelm Schieweck,Company 7,Company
Nagima Chalkarova,University 8,University
Piotr Skrzypacz,Company 22,Company
Vsevolod Andreev,University 16,University
A. G. Konstandopoulos,Company 5,Company
C. P. Lekkos,University 1,University
Margaritis Kostoglou,Company 3,Company
Grant Seastream,Company 14,Company
Ignacio E. Grossmann,Company 22,Company
John D. Siirola,Company 22,Company
Qi Chen,Company 23,Company
Yunshan Liu,Company 3,Company
Clemente Pedro Nunes,University 13,University
Henrique A. Matos,University 14,University
Jorge Miguel Prior,Company 5,Company
M. Cristina Fernandes,University 24,University
Raquel Durana Moita,Company 27,Company
Chansaem Park,Company 30,Company
Chonghun Han,University 18,University
Jaeheum Jung,Company 1,Company
Jonggeol Na,University 22,University
D. Demicoli,University 22,University
J. Stichlmair,University 4,University
Alejandro G. Marchetti,University 6,University
Dominique Bonvin,Company 8,Company
Martand Singhal,Company 5,Company
Timm Faulwasser,Company 8,Company
Ming-da Ma,University 26,University
Xin-jian Zhu,University 18,University
Nikolaos V. Sahinidis,University 20,University
Angelo Lucia,Company 2,Company
Edward Thomas,Company 15,Company
Rafael de Pelegrini Soares,University 1,University
Alexander D. Smith,Company 21,Company
